id_order,year_month,order_total_paid,product_name,product_url_img
101437135,2020-07,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique),https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/be/db/77/bedb7720-dcb7-ca3d-0985-ab8f5cd2779b/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
97463358,2020-01,5.49,80 gemmes,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/95/d0/0f/95d00fbc-948c-2f03-0089-731ee870a1fb/AppIcon-0-1x_U007emarketing-0-85-220-0-6.png/128x128bb-80.jpg
98943216,2020-01,5.49,special offer,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/0e/f6/3e/0ef63e27-8910-50c7-c9e6-9631526442dc/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-85-220.png/128x128bb-80.jpg
99999795,2020-01,4.49,special offer,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/b8/03/2f/b8032fee-b295-d411-406c-f64fc388d18d/AppIcon-0-1x_U007emarketing-0-85-220-7.png/128x128bb-80.jpg
102072762,2020-08,10.99,bourse de gemmes et cadeaux,https://is5-ssl.mzstatic.com/image/thumb/Purple113/v4/e4/3d/5e/e43d5ee7-a3b3-7984-383f-08c39b79a420/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-85-220.png/128x128bb-80.jpg
105664538,2020-08,5.49,pass royale,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/75/d5/76/75d57691-bb29-461c-0889-c2a2a09d75fd/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/128x128bb-80.jpg
108369282,2020-08,10.99,tinder plus (renouvellement automatique),https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/ef/11/2f/ef112fad-b451-49f9-2712-fbc0b389ec62/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
112345810,2020-09,6.99,abonnement mensuel disney+ (renouvellement automatique),https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/e5/d3/12/e5d312bf-2424-d9fe-4a70-305417fce54e/AppIcon-1x_U007emarketing-0-7-0-0-0-85-220.png/128x128bb-80.jpg
112444899,2020-09,11.99,netflix 2 screens - unlimited streaming (renouvellement automatique),https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/24/fa/c6/24fac6e9-aaff-75bc-033a-48757550f4b1/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
113801124,2020-09,15.99,netflix premium (renouvellement automatique),https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/a1/b7/cc/a1b7cc35-2241-05f3-5354-c2e916b8d8f7/App_Icon-marketing.lsr/128x128bb-80.jpg
113702105,2020-09,6.99,canal+series (1 stream) (renouvellement automatique),https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/b3/83/94/b38394f0-3857-00a9-a512-cc5f6a9c2e42/CPAppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-85-220.png/128x128bb-80.jpg
113219074,2020-09,1.09,poignee de pieces,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/85/c6/e2/85c6e232-ea20-b149-7106-9ed5843d6643/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-85-220.png/128x128bb-80.jpg
119406891,2020-08,10.99,bienvenue en aout,https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/84/8f/1b/848f1be2-a229-6abc-33f9-d73e860cb2a4/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-85-220.png/128x128bb-80.jpg
117895887,2020-09,5.49,pass royale,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/df/a8/d8/dfa8d8bc-5d1f-739f-846b-2bff1f7ac5ca/AppIcon-0-0-1x_U007emarketing-0-0-6-0-85-220.png/128x128bb-80.jpg
113167392,2020-09,21.99,special offer,https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/36/2e/6a/362e6ad2-9fa3-35e8-17d6-5d77036c6c5f/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-85-220.png/128x128bb-80.jpg
113125290,2020-09,3.49,extra small offer,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/4e/21/50/4e215052-29b6-150f-ef1a-b38f98355aee/AppIcon-1x_U007emarketing-0-7-0-85-220.png/128x128bb-80.jpg
116551020,2020-08,16.99,offer of 100 gold bars,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/a0/df/57/a0df5737-e2dc-38f5-6dbc-a3d1bd643424/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/128x128bb-80.jpg
99436270,2020-01,19.99,canal+ (1 stream) (renouvellement automatique),https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/a2/dc/49/a2dc49d0-a2ab-063c-278f-51fd0824aa02/CPAppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
98116847,2020-05,4.83,tinder plus (renouvellement automatique),https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/68/fb/7e/68fb7ec1-e45e-e404-d2f9-b09a7c47e811/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
